Country,year_ave,log_values
Afghanistan,32994.664996732856,10.404101160613466
Algeria,139276.34019009568,11.844215297460531
Angola,54746.5090930455,10.91046888478832
Antigua and Barbuda,132.40710746360594,4.885881323811384
Argentina,1304793.281935409,14.081555181544394
Armenia,5.71083674125972,1.7423655525572066
Australia,6707765.013785745,15.718776370570104
Austria,31682.458508861895,10.363518447363692
Azerbaijan,2299.642570656468,7.740508985778373
Bahrain,1150.8470666666667,7.048253529925743
Bangladesh,167457.2941460424,12.028483637417215
Barbados,7.125385,1.9636637597825908
Belarus,274.7646079520656,5.615914760030739
Belgium,10780.793426992408,9.28552144351633
Belize,14876.92757477839,9.60756680687749
Benin,32.1612690340132,3.470762903545088
Bhutan,2972.3289101669116,7.997101069353151
Bolivia,221492.9532694436,12.308146054279291
Bosnia and Herzegovina,132.996742960357,4.890324638902021
Botswana,4941.5382234108965,8.505431942970151
Brazil,8374829.382155171,15.940741263187906
Bulgaria,14817.222601931902,9.603545472510334
Burkina Faso,908.7063634240742,6.812022009454458
Cabo Verde,18078.827297911463,9.802496770001367
Cambodia,19128.81933760531,9.858951342683637
Cameroon,24703.0666088816,10.114682669115306
Canada,5561938.057614899,15.5314571770033
Chad,874.491606785686,6.773642696683251
Chile,1091531.0499267937,13.903091901591615
China (People's Republic of),62737480.40240344,17.954469600570757
Colombia,1644781.6947122572,14.313118224993467
Comoros,2310.726902087995,7.745317430244228
Congo,27302.33895242831,10.214727653416205
Costa Rica,314065.6970040278,12.657357469133133
Croatia,25757.771765428373,10.156491676687697
Cuba,36512.530712134554,10.505410787835924
Cyprus,173.5444465959958,5.156433742925154
Czechia,14529.987721681424,9.583969911531723
Côte d'Ivoire,3200.141983310815,8.070950457588138
Democratic Republic of the Congo,34923.559527555844,10.460916938537448
Denmark,165755.20010452057,12.018267280735593
Dominica,8.02852775,2.083001167438074
Dominican Republic,9096.598295969538,9.115655808989489
Ecuador,196266.9715391511,12.187231111085934
Egypt,121145.50922676272,11.704747657681146
El Salvador,368.19296925,5.908607173695429
Equatorial Guinea,12008.58435095745,9.393377035600077
Eritrea,221.36843528594946,5.3998284413931685
Estonia,1265.9254113450104,7.143558684179368
Ethiopia,77161.74356061258,11.253659063454522
Fiji,43807.845862190996,10.687568209596572
Finland,190605.4432478574,12.157960828282686
France,5077512.453130603,15.440332025044325
Gabon,5840.975885315958,8.672653165512006
Georgia,540.3436749321271,6.292205372178911
Germany,1427467.6602067803,14.17141256540929
Ghana,19136.392721859615,9.8593471792122
Greece,339538.0407090866,12.735341268920592
Guatemala,69066.72146932172,11.142828294173777
Guyana,60.789170999999996,4.1074116645562775
Haiti,21547.036464395045,9.977993567021688
Honduras,22812.284445081175,10.035054461297463
Hungary,3753.9551721945654,8.23056527573114
Iceland,13474.09318460151,9.508524097379244
India,9944532.21493503,16.112533431952766
Indonesia,8919436.767113749,16.003743359862355
Iran,868974.9407775657,13.675069566981987
Iraq,39178.00149362151,10.57587068186733
Ireland,10086.542590611043,9.218957397601656
Israel,36792.79456594283,10.513057305147221
Italy,2124033.6785114715,14.568827517391268
Jamaica,33191.344189033916,10.410044403714169
Japan,9654841.335769778,16.082970040335283
Jordan,5386.806386478559,8.591707981154482
Kazakhstan,574862.0436763931,13.261885366952054
Kenya,143867.69353276648,11.876649361296026
Kiribati,4660.372790221671,8.446850721821676
Korea,1573871.8143741225,14.269049265236587
Kuwait,616.6020333333333,6.424223813100413
Kyrgyzstan,26195.152012749426,10.173329634946285
Lao People's Democratic Republic,35573.62175382173,10.479359680220822
Latvia,1029.9922457820726,6.9373065528284235
Lebanon,49.27520966666667,3.8974211080610184
Liberia,343.6574333333333,5.839645327868621
Libya,17755.195943342023,9.784433481269096
Lithuania,3028.793125,8.015919510576623
Luxembourg,0.541403,-0.61359136062778
Madagascar,16360.684436333908,9.70263644524337
Malawi,6063.491077316457,8.71004099855564
Malaysia,1670994.5278825252,14.32892953281605
Maldives,123428.10785061441,11.723414142883897
Malta,36.10463333333333,3.586421204286789
Marshall Islands,2911.806189323416,7.9765288512374255
Mauritania,5526.787067052891,8.617361925137237
Mauritius,10318.536140663928,9.241697182139449
Mexico,4932385.565784728,15.41133331656614
Micronesia,7396.478558750257,8.908759295490835
Mongolia,13034.609012471825,9.475363330710358
Montenegro,284.10678,5.6493501534117065
Morocco,93725.0825356682,11.448121122219016
Mozambique,65409.54915258075,11.088423538293998
Myanmar,143111.1457328064,11.871376850231972
Namibia,10793.930868897012,9.28673929857192
Nauru,20.123260000000002,3.001876359939449
Nepal,358659.25391796685,12.790128063307218
Netherlands,572355.4229274031,13.257515446146504
New Zealand,2767312.9901641444,14.833387367718641
Nicaragua,3359.1095458127534,8.119431201707114
Niger,1758.3668747225963,7.472140745165838
Nigeria,281933.81822002534,12.549427635213878
North Macedonia,40.9339278734606,3.7119592515353945
Norway,1222881.742516395,14.016720715404057
Oman,79855.92644760001,11.287979370646053
Pakistan,317815.263075528,12.669225559230183
Panama,98143.02828461197,11.494181165950103
Papua New Guinea,83181.565900554,11.328781038565173
Paraguay,5216.447232461785,8.559571842350639
Peru,796686.0860583244,13.588216010747926
Philippines,2307973.1949030375,14.6518802925492
Poland,87899.96974192657,11.383954739440291
Portugal,405265.55127582775,12.912297813385582
Qatar,3398.8198025,8.131183533433468
Romania,63171.91686330928,11.053615127952058
Russia,9904334.113609487,16.108483008556547
Rwanda,624.0045638981065,6.436157682281954
Saint Kitts and Nevis,241.61708702902112,5.487354188017672
Saint Lucia,14.204576249999999,2.65356418381579
Saint Vincent and the Grenadines,50486.10737499999,10.829453475930947
Samoa,54.1226353947222,3.991252497510985
Sao Tome and Principe,298.970948519685,5.7003464065286185
Saudi Arabia,2305857.065459026,14.650962994134225
Senegal,11865.564058423168,9.38139570743
Serbia,502.3616425,6.219320263712222
Seychelles,405564.75332434056,12.913035827395161
Singapore,1790.4703142499998,7.490233609714337
Slovak Republic,1204.8406106571006,7.0941025638622595
Slovenia,3126.820333333333,8.047771899246015
Solomon Islands,18449.24621478351,9.822778793066773
Somalia,7898.529734462246,8.974431911572838
South Africa,1497783.9180306124,14.219497185679147
South Sudan,660.1008141051894,6.492392571999812
Spain,2564597.2050036048,14.757311989169393
Sri Lanka,3731.9225490864887,8.224678808559625
Sudan,45633.88002033516,10.728405702529406
Suriname,6681.9000000000005,8.807157657225549
Sweden,520979.59769498,13.163466160074263
Switzerland,81772.34411516765,11.311694373923403
Syrian Arab Republic,3142.6035312290946,8.05280688542023
Tajikistan,1181.9932594907139,7.0749574953192536
Tanzania,126082.43701946786,11.744691234056772
Thailand,2130664.660451083,14.571944536169152
Togo,644.5227,6.468510042860623
Tonga,2050.7924379351093,7.625981552529581
Trinidad and Tobago,16957.138598316313,9.738444180390049
Tunisia,12763.500047814807,9.454344817703936
Turkmenistan,49335.296552922104,10.806395058278007
Türkiye,2951912.0745444936,14.897963679213014
Uganda,1871.343992420095,7.5344121642225845
Ukraine,49243.96432179359,10.80454208724839
United Arab Emirates,13523.69759832118,9.512198803205196
United Kingdom,1388290.5955113017,14.143583760895867
United States,114954591.27519743,18.560047749873846
